vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-270-49-21	Δ = 270	bi.bi = 49	b0.bi = 21	hypers = 2 x (irr-D4-8a) + 2 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-271-27-15-a	Δ = 271	bi.bi = 27	b0.bi = 15	hypers = 20 x (irr-D4-8a) + 6 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-271-27-15-b	Δ = 271	bi.bi = 27	b0.bi = 15	hypers = 4 x (irr-D4-8a) + 22 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-271-27-15-c	Δ = 271	bi.bi = 27	b0.bi = 15	hypers = 11 x (irr-D4-8a) + 15 x (irr-D4-8b) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-271-49-21-a	Δ = 271	bi.bi = 49	b0.bi = 21	hypers = 3 x (irr-D4-8a) + 2 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-56a)
vtx-D04-271-49-21-b	Δ = 271	bi.bi = 49	b0.bi = 21	hypers = 1 x (irr-D4-8a) + 4 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-35b) + 2 x (irr-D4-56b)
vtx-D04-272-40-18	Δ = 272	bi.bi = 40	b0.bi = 18	hypers = 12 x (irr-D4-8a) + 8 x (irr-D4-8b) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-272-49-21	Δ = 272	bi.bi = 49	b0.bi = 21	hypers = 2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-272-256-48	Δ = 272	bi.bi = 256	b0.bi = 48	hypers = 1 x (irr-D4-300)
vtx-D04-273-35-17	Δ = 273	bi.bi = 35	b0.bi = 17	hypers = 7 x (irr-D4-8a) + 14 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-274-30-16-a	Δ = 274	bi.bi = 30	b0.bi = 16	hypers = 18 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-28) + 2 x (irr-D4-35b)
vtx-D04-274-30-16-b	Δ = 274	bi.bi = 30	b0.bi = 16	hypers = 2 x (irr-D4-8a) + 20 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-274-35-17-a	Δ = 274	bi.bi = 35	b0.bi = 17	hypers = 8 x (irr-D4-8a) + 14 x (irr-D4-8b) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-274-35-17-b	Δ = 274	bi.bi = 35	b0.bi = 17	hypers = 15 x (irr-D4-8a) + 7 x (irr-D4-8b) + 2 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-275-30-16-a	Δ = 275	bi.bi = 30	b0.bi = 16	hypers = 10 x (irr-D4-8a) + 13 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56b)
vtx-D04-275-30-16-b	Δ = 275	bi.bi = 30	b0.bi = 16	hypers = 19 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35b) + 1 x (irr-D4-56a)
vtx-D04-275-30-16-c	Δ = 275	bi.bi = 30	b0.bi = 16	hypers = 3 x (irr-D4-8a) + 20 x (irr-D4-8b) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-56a)
vtx-D04-275-48-20-a	Δ = 275	bi.bi = 48	b0.bi = 20	hypers = 16 x (irr-D4-8b) + 2 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-275-48-20-b	Δ = 275	bi.bi = 48	b0.bi = 20	hypers = 16 x (irr-D4-8a) + 1 x (irr-D4-35a) + 4 x (irr-D4-35b)
vtx-D04-276-20-14	Δ = 276	bi.bi = 20	b0.bi = 14	hypers = 8 x (irr-D4-8a) + 16 x (irr-D4-8b) + 4 x (irr-D4-28)
vtx-D04-276-30-16-a	Δ = 276	bi.bi = 30	b0.bi = 16	hypers = 2 x (irr-D4-8a) + 22 x (irr-D4-8b) + 2 x (irr-D4-56b)
vtx-D04-276-30-16-b	Δ = 276	bi.bi = 30	b0.bi = 16	hypers = 11 x (irr-D4-8a) + 13 x (irr-D4-8b) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-276-30-16-c	Δ = 276	bi.bi = 30	b0.bi = 16	hypers = 20 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-56a)
vtx-D04-278-33-17-a	Δ = 278	bi.bi = 33	b0.bi = 17	hypers = 1 x (irr-D4-8a) + 18 x (irr-D4-8b) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b)
vtx-D04-278-33-17-b	Δ = 278	bi.bi = 33	b0.bi = 17	hypers = 17 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-28) + 2 x (irr-D4-35b)
